QuestionID,QuestionType,QuestionFormat,Answer,QuestionForHuman
2.6.3,math,XY-WZ,XY-WZ, What is XY-WZ?
3.1.1,math,2*X0,2*X0,What is 2*X0?
3.1.2,math,7*X0,7*X0,What is 7*10?
3.1.3,math,Y*X0,Y*X0, What is Y*X0?
3.2.1,math,2*X00,2*X00,What is 2*X00?
3.2.2,math,7*X00,7*X00,What is 7*X00?
3.2.3,math,Y*X00,Y*X00, What is Y*X00?
3.3.1,math,2*X000,2*X000,What is 2*X000?
3.3.2,math,7*X000,7*X000,What is 7*X000?
3.3.3,math,Y*X000,Y*X000, What is Y*X000?
3.4.1,math,X*1,X*1,What is X*1?
3.4.2,math,X*0,X*0,What is X*0?
3.4.3,math,X*Y,X*Y,What is X*Y?
4.1.1,math,X0*Y0,X0*Y0,What is X0*Y0?
4.1.2,math,X0*YZ0,X0*YZ0,What is X0*YZ0?
4.1.3,math,XW0*YZ0,XW0*YZ0,What is XW0*YZ0?
4.2.1,math,X*10,X*10,What is X*10 estimated to the nearest tenth?
4.2.2,math,X5*Y0,X5*Y0,What is X5*Y0 estimated to the nearest tenth?
4.2.3,math,XW*YZ,XW*YZ,What is XW*YZ estimated to the nearest tenth?
4.3.1,math,,,
4.3.2,math,,,
4.3.3,math,,,
5.1.1,,,,
5.1.2,,,,
5.1.3,,,,
5.2.1,,,,
5.2.2,,,,
5.2.3,,,,
5.3.1,,,,
5.3.2,,,,
5.3.3,,,,
5.4.1,,,,
5.4.2,,,,
5.4.3,,,,
5.5.1,,,,
5.5.2,,,,
5.5.3,,,,
5.6.1,,,,
5.6.2,,,,
5.6.3,,,,
5.7.1,,,,
5.7.2,,,,
5.7.3,,,,
5.8.1,,,,
5.8.2,,,,
5.8.3,,,,
6.1.1,,,,
6.1.2,,,,
6.1.3,,,,
6.2.1,,,,
6.2.2,,,,
6.2.3,,,,
6.3.1,,,,
6.3.2,,,,
6.3.3,,,,
6.4.1,,,,
6.4.2,,,,
6.4.3,,,,
6.5.1,,,,
6.5.2,,,,
6.5.3,,,,
6.6.1,,,,
6.6.2,,,,
6.6.3,,,,
6.7.1,,,,
6.7.2,,,,
6.7.3,,,,
7.1.1,,,,
7.1.2,,,,
7.1.3,,,,
7.2.1,,,,
7.2.2,,,,
7.2.3,,,,
7.3.1,,,,
7.3.2,,,,
7.3.3,,,,
7.4.1,,,,
7.4.2,,,,
7.4.3,,,,
8.1.1,,,,
8.1.2,,,,
8.1.3,,,,
8.2.1,,,,
8.2.2,,,,
8.2.3,,,,
8.3.1,,,,
8.3.2,,,,
8.3.3,,,,
8.4.1,,,,
8.4.2,,,,
8.4.3,,,,
8.5.1,,,,
8.5.2,,,,
8.5.3,,,,
8.6.1,,,,
8.6.2,,,,
8.6.3,,,,
8.7.1,,,,
8.7.2,,,,
8.7.3,,,,
8.8.1,,,,
8.8.2,,,,
8.8.3,,,,
9.1.1,,,,
9.1.2,,,,
9.1.3,,,,
9.2.1,,,,
9.2.2,,,,
9.2.3,,,,
9.3.1,,,,
9.3.2,,,,
9.3.3,,,,
10.1.1,,,,
10.1.2,,,,
10.1.3,,,,
10.2.1,,,,
10.2.2,,,,
10.2.3,,,,
10.3.1,,,,
10.3.2,,,,
10.3.3,,,,
10.4.1,,,,
10.4.2,,,,
10.4.3,,,,
10.5.1,,,,
10.5.2,,,,
10.5.3,,,,
10.6.1,,,,
10.6.2,,,,
10.6.3,,,,
10.7.1,,,,
10.7.2,,,,
10.7.3,,,,
10.8.1,,,,
10.8.2,,,,
10.8.3,,,,
10.9.1,,,,
10.9.2,,,,
10.9.3,,,,
11.1.1,,,,
11.1.2,,,,
11.1.3,,,,
11.2.1,,,,
11.2.2,,,,
11.2.3,,,,
11.3.1,,,,
11.3.2,,,,
11.3.3,,,,
11.4.1,,,,
11.4.2,,,,
11.4.3,,,,
11.5.1,,,,
11.5.2,,,,
11.5.3,,,,
11.6.1,,,,
11.6.2,,,,
11.6.3,,,,
12.1.1,,,,
12.1.2,,,,
12.1.3,,,,
12.2.1,,,,
12.2.2,,,,
12.2.3,,,,
12.3.1,,,,
12.3.2,,,,
12.3.3,,,,
12.4.1,,,,
12.4.2,,,,
12.4.3,,,,
12.5.1,,,,
12.5.2,,,,
12.5.3,,,,
12.6.1,,,,
12.6.2,,,,
12.6.3,,,,
13.1.1,,,,
13.1.2,,,,
13.1.3,,,,
13.2.1,,,,
13.2.2,,,,
13.2.3,,,,
13.3.1,,,,
13.3.2,,,,
13.3.3,,,,
13.4.1,,,,
13.4.2,,,,
13.4.3,,,,
13.5.1,,,,
13.5.2,,,,
13.5.3,,,,
